model,population,n,groups,mae,rmse,r2,pearson,spearman
dummy,all,5506,142,1.473569,2.028349,-0.184760,-0.384399,-0.425211
dummy,cys,139,25,1.690514,2.444233,-0.349567,-0.469157,-0.547895
dummy,enzymes,1998,47,1.481682,2.151952,-0.255552,-0.066665,-0.088894
dummy,enzymes_cys,46,11,1.142458,1.534968,-0.326794,-0.174731,-0.273249
ridge_esm,all,5506,142,1.447481,1.972832,-0.120793,-0.064277,-0.073918
ridge_esm,cys,139,25,1.625562,2.401043,-0.302294,-0.069075,-0.222258
ridge_esm,enzymes,1998,47,1.395321,1.972195,-0.054554,0.067880,0.090163
ridge_esm,enzymes_cys,46,11,1.011486,1.303858,0.042661,0.274480,0.182228
ridge_physchem,all,5506,142,1.486602,2.105338,-0.276406,-0.151671,-0.120881
ridge_physchem,cys,139,25,1.810975,2.575305,-0.498189,-0.393077,-0.540440
ridge_physchem,enzymes,1998,47,1.468963,2.120039,-0.218588,0.074186,0.125947
ridge_physchem,enzymes_cys,46,11,1.500667,1.893887,-1.019823,-0.029164,-0.034479
ridge_physchem_esm,all,5506,142,1.465994,2.046590,-0.206165,-0.063423,-0.036773
ridge_physchem_esm,cys,139,25,1.593499,2.390240,-0.290602,-0.154256,-0.275454
ridge_physchem_esm,enzymes,1998,47,1.400421,1.978591,-0.061406,0.121462,0.129186
ridge_physchem_esm,enzymes_cys,46,11,1.075263,1.398703,-0.101682,0.401064,0.289689
