transformed_feature,standardized_coefficient,abs_coefficient
categorical__wt_aa_C,0.7724114687657544,0.7724114687657544
categorical__mut_aa_P,-0.5423261921398633,0.5423261921398633
categorical__wt_aa_Y,-0.4933058367523838,0.4933058367523838
categorical__wt_aa_H,0.3918925533680434,0.3918925533680434
categorical__wt_aa_T,-0.29633365386159466,0.29633365386159466
numeric__wt_polarity,0.2571314315390605,0.2571314315390605
categorical__wt_aa_S,-0.2500769360172519,0.2500769360172519
categorical__mut_aa_A,0.2496545428009664,0.2496545428009664
numeric__mut_hydrophobicity,0.22003009840180426,0.22003009840180426
categorical__wt_aa_P,0.218502520924228,0.218502520924228
categorical__wt_aa_G,-0.20412286936251645,0.20412286936251645
numeric__wt_volume,-0.1749639403793919,0.1749639403793919
numeric__mut_polarity,0.17001331872442738,0.17001331872442738
categorical__wt_aa_V,-0.1622694058898773,0.1622694058898773
categorical__wt_aa_E,0.15791017932540938,0.15791017932540938
categorical__wt_aa_N,-0.15629004464036197,0.15629004464036197
categorical__wt_aa_K,0.15458354535830124,0.15458354535830124
categorical__mut_aa_M,0.1421782104109125,0.1421782104109125
categorical__mut_aa_I,-0.13885540964555101,0.13885540964555101
numeric__blosum62,0.12625876954692006,0.12625876954692006
categorical__mut_aa_C,0.12036767403208332,0.12036767403208332
numeric__delta_volume,0.10986830272221784,0.10986830272221784
numeric__wt_mass,0.10923024466670403,0.10923024466670403
numeric__wt_hydrophobicity,0.10669765603823653,0.10669765603823653
categorical__mut_aa_W,0.1055948545078805,0.1055948545078805
categorical__mut_aa_G,0.1053790116446925,0.1053790116446925
categorical__mut_aa_Y,-0.10401399717822407,0.10401399717822407
categorical__wt_aa_L,-0.09997215516172452,0.09997215516172452
categorical__wt_aa_R,-0.09766375095892316,0.09766375095892316
categorical__mut_aa_Q,0.09672353219129626,0.09672353219129626
categorical__wt_aa_M,0.09496169391594861,0.09496169391594861
categorical__wt_aa_D,-0.09200907399330792,0.09200907399330792
categorical__wt_aa_I,-0.08532636692518872,0.08532636692518872
categorical__mut_aa_T,-0.08411621673451589,0.08411621673451589
numeric__wt_aromatic,-0.07445676318443291,0.07445676318443291
categorical__mut_aa_E,0.07208908758690401,0.07208908758690401
numeric__delta_hydrophobicity,0.06962981862763969,0.06962981862763969
numeric__delta_polarity,-0.0593378128539625,0.0593378128539625
numeric__mut_mass,0.05587039422725786,0.05587039422725786
numeric__wt_charge,0.05209931728481705,0.05209931728481705
numeric__mut_charge,0.050931310116688576,0.050931310116688576
categorical__mut_aa_S,-0.04959286871334499,0.04959286871334499
categorical__mut_aa_D,-0.04875530774860463,0.04875530774860463
categorical__wt_aa_W,0.044003761555540755,0.044003761555540755
categorical__wt_aa_Q,0.03616043381656889,0.03616043381656889
categorical__wt_aa_F,0.0356208381784148,0.0356208381784148
numeric__delta_aromatic,0.03366548625116646,0.03366548625116646
categorical__mut_aa_F,-0.0325238617061109,0.0325238617061109
categorical__wt_aa_A,0.03132309794287565,0.03132309794287565
numeric__delta_mass,-0.030789741800833114,0.030789741800833114
categorical__mut_aa_L,0.030328633780944105,0.030328633780944105
categorical__mut_aa_H,0.026257423690982537,0.026257423690982537
categorical__mut_aa_K,0.025187844165505565,0.025187844165505565
categorical__mut_aa_R,0.01771483073215949,0.01771483073215949
categorical__mut_aa_N,0.012855063122371965,0.012855063122371965
numeric__mut_aromatic,-0.011521493752330764,0.011521493752330764
numeric__delta_charge,-0.010697773697171556,0.010697773697171556
numeric__mut_volume,-0.006881375416749319,0.006881375416749319
categorical__mut_aa_V,-0.004146854481051144,0.004146854481051144
