protein_id,rows,cys,source_name_match
1A0N,1136,59,False
1A32,1195,61,True
1AOY,1287,63,True
1BK2,987,58,False
1E0L,621,12,True
1E6H,1089,61,True
1EM7,1042,55,False
1ENH,903,44,True
1F0M,1239,66,True
1GB4,1092,53,False
1GJS,812,39,True
1GL5,1078,54,True
1GYZ,1121,59,True
1H8K,1080,58,True
1H92,988,53,True
1I2T,1094,58,True
1I6C,686,11,True
1IFY,798,27,True
1JIC,1008,55,True
1K1V,762,27,True
1LP1,1035,51,True
1MJC,1326,68,False
1O6X,1357,68,True
1OPS,1071,65,True
1ORC,1195,63,True
1PGA,1096,59,False
1PGX,1132,61,False
1PSE,1219,47,True
1PV0,834,42,True
1PWT,990,57,True
1QKH,1267,68,True
1QKX,959,55,True
1QLY,1061,57,True
1QP2,1101,62,True
1R69,1124,61,True
1S1N,1150,61,False
1SF0,1081,47,False
1SIF,1372,73,False
1SRM,1025,55,True
1TG0,1084,62,True
1TUC,1041,57,True
1TUD,1051,60,True
1UBQ,1422,75,False
1UCS,1131,62,False
1UFM,1353,72,True
1URF,1301,56,True
1UZC,1163,63,True
1V1C,1213,65,True
1VII,633,13,True
1W4F,656,8,True
1W4G,669,23,True
1W4H,797,24,True
1WCL,1306,69,True
1WR4,454,3,True
1Y0M,1092,56,True
1YEZ,1114,53,False
1YP5,722,57,True
1YRF,612,8,True
1YU5,1202,65,True
1ZHC,1061,60,True
1ZLM,1028,55,True
2AMI,1340,69,True
2B88,1114,54,True
2B89,965,54,True
2BTH,796,11,True
2BTT,947,60,True
2CDT,940,56,True
2CJJ,774,45,True
2D1U,1219,66,True
2EXD,1060,57,True
2GP8,723,11,True
2HBB,957,39,True
2JN4,1069,64,True
2JT1,1264,66,True
2JTV,1056,62,True
2JVD,714,29,True
2JVG,1025,56,True
2JWS,902,48,True
2JWT,931,47,True
2JZ2,1025,56,True
2K1B,929,49,True
2K28,917,45,True
2K2A,1141,60,True
2K52,1383,73,False
2K5H,1213,64,True
2K5N,1236,67,True
2K5P,1210,62,True
2K9D,824,40,True
2KCF,633,9,True
2KCM,1198,63,True
2KFV,1237,68,True
2KGT,1138,63,True
2KR3,1089,54,True
2KRS,1226,62,False
2KRU,890,51,True
2KT8,1291,66,False
2KVS,1203,66,True
2KVT,928,51,True
2KWH,975,49,True
2KXD,1173,71,True
2KYB,1131,57,False
2KZI,972,0,False
2KZJ,931,47,True
2L09,911,51,True
2L2D,635,14,True
2L2P,1024,54,True
2L33,1329,63,True
2L6Q,1040,55,True
2L7F,896,48,True
2L7M,938,49,True
2L9R,1149,52,True
2LC2,1204,57,True
2LCL,969,45,True
2LGW,1215,65,True
2LHC,629,42,True
2LHR,940,54,True
2LJ3,1004,59,True
2LO1,1216,65,True
2LP5,1072,57,True
2LQK,988,53,True
2LSS,1292,70,False
2LUM,952,54,True
2LVN,731,42,True
2LX2,716,53,False
2LXK,1286,65,False
2LYP,1251,66,False
2LYQ,1175,62,True
2LYR,1177,61,True
2M0C,833,42,True
2M0Y,1213,63,True
2M2J,1346,68,True
2M2L,900,48,True
2M6Y,1068,57,True
2M7O,1131,51,False
2M8E,639,11,True
2M8I,758,15,True
2M8J,775,12,True
2M8U,1273,67,True
2M9E,475,1,False
2M9F,592,3,True
2M9I,605,4,True
2MA4,1245,67,True
2MC5,1126,56,True
2MCH,1152,64,True
2MCK,946,43,True
2MH8,775,51,True
2MI6,1019,55,True
2MKX,928,49,False
2MKY,1011,52,True
2MLB,1325,70,False
2MW9,665,11,True
2MWA,657,8,True
2MWB,672,8,True
2MXD,995,52,True
2MYX,955,51,True
2N4R,654,9,True
2N88,889,45,True
2O2W,1211,67,True
2OCH,1085,61,True
2OP7,686,19,True
2PTL,1201,64,False
2QFF,1212,70,True
2RJV,1187,64,True
2ROT,1322,65,False
2RRT,1272,67,True
2RRU,707,8,True
2RU9,1129,52,True
2WNM,1047,45,True
2WQG,656,31,True
2WXC,782,19,True
2YSB,679,11,True
2YSF,540,0,True
2ZW1,1110,58,False
3CQT,1050,56,True
3DKM,1244,60,True
3I35,1046,57,True
3L1X,1118,68,True
3MYC,1163,63,True
3V1A,829,38,True
3ZGK,1302,69,True
4C26,1163,62,True
4G3O,820,42,True
4HCK,1034,51,True
4UZW,771,41,True
5AHT,560,20,True
5ECA,1154,59,False
5FWB,1171,57,False
5GU9,1246,69,False
5JRT,1118,58,True
5KPH,1288,69,True
5LXJ,851,39,True
5OAO,988,52,True
5UBS,1029,54,True
5UCE,994,53,True
5UP5,653,16,True
5UYO,751,18,True
5VNT,1149,60,True
5XR0,650,53,False
5Z2S,648,30,True
6ACV,1155,64,True
6EWS,1032,55,True
